name,playerID,AB,H,X2B,X3B,HR,BB,HBP,SF,RBI,X1B,SLG,OBP,OPS,AVG,batting.runs
Mookie Betts,bettsmo01,520,180,47,5,32,81,8,5,80,96,0.6403846153846153,0.4381107491856677,1.078495364570283,0.34615384615384615,65.4
J. D. Martinez,martijd02,569,188,37,2,43,69,4,7,130,106,0.6291739894551845,0.40215716486902925,1.0313311543242139,0.3304042179261863,58.4
Christian Yelich,yelicch01,574,187,34,7,36,68,7,2,110,110,0.5975609756097561,0.402457757296467,1.0000187329062231,0.32578397212543553,52.7
Jose Ramirez,ramirjo01,578,156,38,4,39,106,8,6,105,75,0.5519031141868512,0.3868194842406877,0.9387225984275389,0.2698961937716263,43.4
Alex Bregman,bregmal01,594,170,51,1,31,96,12,3,103,87,0.531986531986532,0.3943262411347518,0.9263127731212838,0.28619528619528617,42.1
Nolan Arenado,arenano01,590,175,38,2,38,73,3,6,110,97,0.5610169491525424,0.37351190476190477,0.9345288539144472,0.2966101694915254,40.1
Paul Goldschmidt,goldspa01,593,172,35,5,33,90,6,0,83,99,0.5328836424957841,0.3889695210449927,0.9218531635407768,0.2900505902192243,39.6
Manny Machado,machama01,632,188,35,3,37,70,2,5,107,113,0.5379746835443038,0.36671368124118475,0.9046883647854885,0.2974683544303797,35.8
Bryce Harper,harpebr03,550,137,34,0,34,130,6,9,100,69,0.49636363636363634,0.39280575539568346,0.8891693917593197,0.24909090909090909,35.5
Freddie Freeman,freemfr01,618,191,44,4,23,76,7,6,98,120,0.5048543689320388,0.38755304101838756,0.8924074099504264,0.30906148867313915,35.4
Trevor Story,storytr01,598,174,42,6,37,47,7,4,108,89,0.5668896321070234,0.3475609756097561,0.9144506077167794,0.2909698996655518,33.5
Matt Carpenter,carpema01,564,145,42,0,36,102,6,4,81,67,0.5230496453900709,0.3742603550295858,0.8973100004196568,0.2570921985815603,33.4
Anthony Rendon,rendoan01,529,163,44,2,24,55,5,8,92,93,0.5349716446124764,0.37353433835845895,0.9085059829709353,0.30812854442344045,31.7
Francisco Lindor,lindofr01,661,183,42,2,38,70,8,3,92,101,0.518910741301059,0.35175202156334234,0.8706627628644013,0.27685325264750377,28.8
Eugenio Suarez,suareeu01,527,149,22,2,34,64,9,6,104,91,0.5256166982922201,0.36633663366336633,0.8919533319555865,0.2827324478178368,28.6
Mitch Haniger,hanigmi01,596,170,38,4,26,70,10,7,93,102,0.49328859060402686,0.36603221083455345,0.8593208014385803,0.28523489932885904,26.3
Xander Bogaerts,bogaexa01,513,148,45,3,23,55,6,6,103,77,0.5224171539961013,0.3603448275862069,0.8827619815823082,0.2884990253411306,25.6
Charlie Blackmon,blackch02,626,182,31,7,29,59,8,2,70,115,0.5015974440894568,0.35827338129496406,0.859870825384421,0.29073482428115016,25.5
Joey Votto,vottojo01,503,143,28,2,12,108,9,3,67,101,0.4194831013916501,0.4173354735152488,0.8368185749068989,0.28429423459244535,25.4
Javier Baez,baezja01,606,176,40,9,34,29,5,4,111,93,0.5544554455445545,0.32608695652173914,0.8805424020662936,0.29042904290429045,25.3
Anthony Rizzo,rizzoan01,566,160,29,1,25,70,20,9,101,105,0.46996466431095407,0.37593984962406013,0.8459045139350142,0.2826855123674912,24.4
Khris Davis,daviskh01,576,142,28,1,48,59,12,7,123,65,0.5486111111111112,0.3256880733944954,0.8742991845056065,0.2465277777777778,24.2
Giancarlo Stanton,stantmi03,617,164,34,1,38,70,8,10,100,91,0.5089141004862237,0.3432624113475177,0.8521765118337414,0.26580226904376014,23.8
Nick Castellanos,casteni01,620,185,46,5,23,49,6,3,89,111,0.5,0.35398230088495575,0.8539823008849557,0.29838709677419356,23.4
David Peralta,peralda01,560,164,25,5,30,48,4,2,87,104,0.5160714285714286,0.3517915309446254,0.8678629595160541,0.29285714285714287,23.3
Matt Chapman,chapmma01,547,152,42,6,24,58,9,2,68,80,0.5082266910420475,0.3555194805194805,0.863746171561528,0.27787934186471663,23.2
Rhys Hoskins,hoskirh01,558,137,38,0,34,87,9,5,96,65,0.496415770609319,0.3535660091047041,0.8499817797140231,0.24551971326164876,22.5
Scooter Gennett,gennesc01,584,181,30,3,23,42,4,5,92,125,0.4897260273972603,0.35748031496062993,0.8472063423578902,0.3099315068493151,21
Andrew Benintendi,beninan01,579,168,41,6,16,71,2,7,87,105,0.46459412780656306,0.36570561456752654,0.8302997423740897,0.29015544041450775,20.2
Jose Altuve,altuvjo01,534,169,29,2,13,55,6,1,61,125,0.45131086142322097,0.3859060402684564,0.8372169016916773,0.31647940074906367,20
Miguel Andujar,andujmi01,573,170,47,2,27,25,4,4,92,94,0.5270506108202443,0.32838283828382836,0.8554334491040727,0.29668411867364747,19.4
Michael Brantley,brantmi02,570,176,36,2,17,48,5,6,76,121,0.46842105263157896,0.3640699523052464,0.8324910049368254,0.3087719298245614,19
Nelson Cruz,cruzne02,519,133,18,1,37,55,14,3,97,77,0.5086705202312138,0.34179357021996615,0.85046409045118,0.25626204238921,18.9
Lorenzo Cain,cainlo01,539,166,25,2,10,71,8,2,38,129,0.4174397031539889,0.3951612903225806,0.8126009934765694,0.3079777365491651,17.9
Shin-Soo Choo,choosh01,560,148,30,1,21,92,10,2,62,96,0.43392857142857144,0.37650602409638556,0.810434595524957,0.2642857142857143,17.6
Nick Markakis,markani01,623,185,43,2,14,72,1,9,93,126,0.43980738362760835,0.3659574468085106,0.8057648304361189,0.2969502407704655,16.8
Whit Merrifield,merriwh01,632,192,43,3,12,61,6,6,60,134,0.43829113924050633,0.36737588652482267,0.805667025765329,0.3037974683544304,16.4
Eduardo Escobar,escobed01,566,154,48,3,23,52,5,8,84,80,0.48939929328621906,0.33438985736925514,0.8237891506554742,0.27208480565371024,15.5
Jose Martinez,martijo08,534,163,30,0,17,49,2,3,83,116,0.45692883895131087,0.36394557823129253,0.8208744171826035,0.3052434456928839,15.4
Didi Gregorius,gregodi01,504,135,23,5,27,48,7,9,86,80,0.49404761904761907,0.3345070422535211,0.8285546613011402,0.26785714285714285,14.9
Andrew McCutchen,mccutan01,569,145,30,3,20,95,11,7,65,92,0.4235500878734622,0.3680351906158358,0.791585278489298,0.2548330404217926,14.7
Cody Bellinger,bellico01,557,145,28,7,25,69,3,3,76,85,0.4703770197486535,0.34335443037974683,0.8137314501284003,0.26032315978456017,14.2
Stephen Piscotty,piscost01,546,146,41,0,27,42,12,5,88,78,0.4908424908424908,0.3305785123966942,0.8214210032391851,0.2673992673992674,13.8
Jed Lowrie,lowrije01,596,159,37,1,23,78,3,3,99,98,0.44798657718120805,0.35294117647058826,0.8009277536517962,0.26677852348993286,13.7
Justin Smoak,smoakju01,505,122,34,0,25,83,3,3,77,63,0.45742574257425744,0.3501683501683502,0.8075940927426076,0.24158415841584158,13.2
Justin Upton,uptonju01,533,137,18,1,30,64,10,6,85,88,0.4634146341463415,0.3442088091353997,0.8076234432817412,0.2570356472795497,13.1
Michael Conforto,confomi01,543,132,25,1,28,84,7,4,82,78,0.44751381215469616,0.3495297805642633,0.7970435927189594,0.2430939226519337,12.3
Edwin Encarnacion,encared01,500,123,16,1,32,63,8,7,107,74,0.474,0.3356401384083045,0.8096401384083045,0.246,12.1
